i,val
397,0.0000000000000000e+00
398,0.0000000000000000e+00
399,0.0000000000000000e+00
400,4.7803299999999998e-07
401,4.7616069999999999e-07
402,4.1887190000000000e-07
403,3.2441049999999999e-07
404,2.4308830000000002e-07
405,1.8724570000000000e-07
406,1.1727000000000000e-07
407,7.5786390000000000e-08
408,4.5353189999999997e-08
409,2.7573310000000001e-08
410,0.0000000000000000e+00
411,0.0000000000000000e+00
412,0.0000000000000000e+00
413,0.0000000000000000e+00
414,0.0000000000000000e+00
415,0.0000000000000000e+00
416,0.0000000000000000e+00
417,0.0000000000000000e+00
418,0.0000000000000000e+00
419,0.0000000000000000e+00
420,2.6519690000000000e-07
421,2.8009190000000003e-07
422,2.6695089999999997e-07
423,2.2204260000000000e-07
424,1.6656019999999999e-07
425,1.2730119999999999e-07
426,9.3120500000000003e-08
427,5.5538669999999999e-08
428,3.4747909999999999e-08
429,2.0902550000000001e-08
430,0.0000000000000000e+00
431,0.0000000000000000e+00
432,0.0000000000000000e+00
433,0.0000000000000000e+00
434,0.0000000000000000e+00
435,0.0000000000000000e+00
436,0.0000000000000000e+00
437,0.0000000000000000e+00
438,0.0000000000000000e+00
439,0.0000000000000000e+00
440,7.7888379999999996e-05
441,6.0182780000000001e-05
442,4.5545379999999998e-05
443,3.3873440000000003e-05
444,2.1819320000000001e-05
445,1.3943200000000001e-05
446,8.6551339999999992e-06
447,5.4981550000000004e-06
448,0.0000000000000000e+00
449,0.0000000000000000e+00
450,0.0000000000000000e+00
451,0.0000000000000000e+00
452,0.0000000000000000e+00
453,0.0000000000000000e+00
454,0.0000000000000000e+00
455,0.0000000000000000e+00
456,0.0000000000000000e+00
457,0.0000000000000000e+00
458,0.0000000000000000e+00
459,0.0000000000000000e+00
460,4.1857550000000000e-05
461,3.7652920000000001e-05
462,2.9712830000000000e-05
463,2.2206570000000000e-05
464,1.7172880000000002e-05
465,1.1286739999999999e-05
466,7.1875649999999997e-06
467,4.3737519999999999e-06
468,2.7090179999999999e-06
469,0.0000000000000000e+00
470,0.0000000000000000e+00
471,0.0000000000000000e+00
472,0.0000000000000000e+00
473,0.0000000000000000e+00
474,0.0000000000000000e+00
475,0.0000000000000000e+00
476,0.0000000000000000e+00
477,0.0000000000000000e+00
478,0.0000000000000000e+00
479,0.0000000000000000e+00
480,2.5789350000000001e-05
481,2.5790960000000001e-05
482,2.2779849999999998e-05
483,1.7656099999999999e-05
484,1.3197110000000000e-05
485,1.0234140000000000e-05
486,6.3841560000000003e-06
487,4.1656300000000000e-06
488,2.4822630000000000e-06
489,1.5044800000000000e-06
490,0.0000000000000000e+00
491,0.0000000000000000e+00
492,0.0000000000000000e+00
493,0.0000000000000000e+00
